sujeto,condicion,canal,potencia_Delta,potencia_Theta,potencia_Mu,potencia_Beta,potencia_Gamma
S001,img_der,FC5,5.4972109043394594e-11,1.2106599025091015e-11,6.973938666435417e-12,3.5770726709514224e-12,1.673532222754667e-12
S001,img_der,FC3,3.6166825890862765e-11,9.411911621016307e-12,5.602278834551015e-12,3.318512818789459e-12,1.171955288835691e-12
S001,img_der,FC1,4.609746712182452e-11,1.1970330045916786e-11,6.110991360806712e-12,3.26800364720406e-12,1.0212524201650272e-12
S001,img_der,FCz,6.581936744358397e-11,1.7214105595830014e-11,8.361825535521214e-12,3.734864589738239e-12,1.188735335816075e-12
S001,img_der,FC2,4.413620664853538e-11,1.3325361104992444e-11,7.003402941579756e-12,3.2644084737238067e-12,9.140829527028829e-13
S001,img_der,FC4,3.265913539797957e-11,1.0165674497584403e-11,6.404428498475569e-12,3.0822943327363645e-12,9.023443284198317e-13
S001,img_der,FC6,5.455868701644041e-11,1.2698964379282653e-11,7.53510151804055e-12,3.7061737592780575e-12,1.919080858444951e-12
S001,img_der,C5,4.182539903820292e-11,1.0073775564761517e-11,5.899519953453572e-12,2.950758611875543e-12,1.5190713824554084e-12
S001,img_der,C3,2.6357930362386224e-11,7.78875883649253e-12,4.645395078804845e-12,2.2649287169508684e-12,9.658162453443913e-13
S001,img_der,C1,3.511329865984547e-11,9.797881681468598e-12,4.140707407928217e-12,1.8625844086027665e-12,8.04896678006786e-13
S001,img_der,Cz,5.274519072209274e-11,1.3690475581145462e-11,5.148977903159032e-12,2.258168116202645e-12,1.0978165942979152e-12
S001,img_der,C2,4.7295167495677593e-11,1.1813733927588518e-11,5.698546720605515e-12,2.276144206057666e-12,8.705440827920186e-13
S001,img_der,C4,2.8804551880461778e-11,8.129408041729596e-12,5.368468917047111e-12,2.3578607295570937e-12,8.278481388297558e-13
S001,img_der,C6,4.418989107067413e-11,1.1187772254502429e-11,6.091823413867469e-12,3.3311439607311055e-12,1.3402710016010273e-12
S001,img_der,CP5,3.9348424999088325e-11,1.134122194966174e-11,6.93480626537967e-12,3.1210490318114e-12,1.0857758190407347e-12
S001,img_der,CP3,3.58993075031907e-11,8.276638715058864e-12,5.437629873877742e-12,2.1847118761091343e-12,7.162839297646998e-13
S001,img_der,CP1,4.422184624846329e-11,8.755219914607396e-12,4.897760248805596e-12,1.7428722711861016e-12,6.913641416823899e-13
S001,img_der,CPz,5.7367548578050916e-11,1.0127343959144617e-11,5.46409025965893e-12,1.8133132058741291e-12,7.925585226825179e-13
S001,img_der,CP2,4.4602266928682513e-11,8.150491639521499e-12,5.723018363028197e-12,1.8394324050197845e-12,6.229055207514746e-13
S001,img_der,CP4,4.041975106382566e-11,8.067924575431132e-12,6.723262221959436e-12,2.345287612936022e-12,6.760411550629359e-13
S001,img_der,CP6,4.2273436986027317e-11,1.0072068122072233e-11,6.289569644901452e-12,2.8300109633655877e-12,8.269704403357486e-13
S001,img_der,AFz,9.972358876539407e-11,1.8286018308773008e-11,9.073282757431004e-12,3.3105294753462915e-12,6.993865946568645e-13
S001,img_der,AF4,1.1771990184738323e-10,1.667987009731767e-11,9.351098738575933e-12,3.575993071957847e-12,1.0773039937848984e-12
S001,img_der,F7,1.3158450483732062e-10,2.0270850255404294e-11,9.82237137430594e-12,4.799962838310174e-12,2.6025936191826805e-12
S001,img_der,F5,1.369083319715642e-10,2.006300111221181e-11,1.0865120209506975e-11,5.47349780136071e-12,2.673050435538063e-12
S001,img_der,F3,6.547658294653172e-11,1.0651198289550651e-11,6.221849280059759e-12,2.6879985535805198e-12,5.013457518522322e-13
S001,img_der,F1,7.347001500681581e-11,1.493273819532871e-11,8.178172908100428e-12,3.907039641494207e-12,7.121575886613885e-13
S001,img_der,Fz,7.479677769566079e-11,1.7231322233059755e-11,8.855106040821174e-12,3.6213745897735703e-12,6.890424208778905e-13
