sujeto,condicion,canal,potencia_Delta,potencia_Theta,potencia_Mu,potencia_Beta,potencia_Gamma
S001,img_der,FC5,4.8996178614726674e-11,1.2106599025091015e-11,6.973938666435417e-12,3.5770726709514224e-12,1.673532222754667e-12
S001,img_der,FC3,3.259813798981582e-11,9.411911621016307e-12,5.602278834551015e-12,3.318512818789459e-12,1.171955288835691e-12
S001,img_der,FC1,4.236759244732547e-11,1.1970330045916786e-11,6.110991360806712e-12,3.26800364720406e-12,1.0212524201650272e-12
S001,img_der,FCz,6.144208756325391e-11,1.7214105595830014e-11,8.361825535521214e-12,3.734864589738239e-12,1.188735335816075e-12
S001,img_der,FC2,4.2873058173128034e-11,1.3325361104992444e-11,7.003402941579756e-12,3.2644084737238067e-12,9.140829527028829e-13
S001,img_der,FC4,3.253163752774017e-11,1.0165674497584403e-11,6.404428498475569e-12,3.0822943327363645e-12,9.023443284198317e-13
S001,img_der,FC6,4.9418843107001855e-11,1.2698964379282653e-11,7.53510151804055e-12,3.7061737592780575e-12,1.919080858444951e-12
S001,img_der,C5,4.0280769485972016e-11,1.0073775564761517e-11,5.899519953453572e-12,2.950758611875543e-12,1.5190713824554084e-12
S001,img_der,C3,2.4637507219574926e-11,7.78875883649253e-12,4.645395078804845e-12,2.2649287169508684e-12,9.658162453443913e-13
S001,img_der,C1,3.400215851960251e-11,9.797881681468598e-12,4.140707407928217e-12,1.8625844086027665e-12,8.04896678006786e-13
S001,img_der,Cz,5.1794731518582274e-11,1.3690475581145462e-11,5.148977903159032e-12,2.258168116202645e-12,1.0978165942979152e-12
S001,img_der,C2,4.656941193990474e-11,1.1813733927588518e-11,5.698546720605515e-12,2.276144206057666e-12,8.705440827920186e-13
S001,img_der,C4,2.7564295082104378e-11,8.129408041729596e-12,5.368468917047111e-12,2.3578607295570937e-12,8.278481388297558e-13
S001,img_der,C6,3.967831052440506e-11,1.1187772254502429e-11,6.091823413867469e-12,3.3311439607311055e-12,1.3402710016010273e-12
S001,img_der,CP5,3.8218416217985487e-11,1.134122194966174e-11,6.93480626537967e-12,3.1210490318114e-12,1.0857758190407347e-12
S001,img_der,CP3,3.3821259312981804e-11,8.276638715058864e-12,5.437629873877742e-12,2.1847118761091343e-12,7.162839297646998e-13
S001,img_der,CP1,4.248765067083389e-11,8.755219914607396e-12,4.897760248805596e-12,1.7428722711861016e-12,6.913641416823899e-13
S001,img_der,CPz,5.560332628401653e-11,1.0127343959144617e-11,5.46409025965893e-12,1.8133132058741291e-12,7.925585226825179e-13
S001,img_der,CP2,4.273370688803096e-11,8.150491639521499e-12,5.723018363028197e-12,1.8394324050197845e-12,6.229055207514746e-13
S001,img_der,CP4,3.7717244541430675e-11,8.067924575431132e-12,6.723262221959436e-12,2.345287612936022e-12,6.760411550629359e-13
S001,img_der,CP6,3.82241954956988e-11,1.0072068122072233e-11,6.289569644901452e-12,2.8300109633655877e-12,8.269704403357486e-13
S001,img_der,AFz,9.01258377166726e-11,1.8286018308773008e-11,9.073282757431004e-12,3.3105294753462915e-12,6.993865946568645e-13
S001,img_der,AF4,1.1146904285715094e-10,1.667987009731767e-11,9.351098738575933e-12,3.575993071957847e-12,1.0773039937848984e-12
S001,img_der,F7,1.1481434334367345e-10,2.0270850255404294e-11,9.82237137430594e-12,4.799962838310174e-12,2.6025936191826805e-12
S001,img_der,F5,1.2106311906573541e-10,2.006300111221181e-11,1.0865120209506975e-11,5.47349780136071e-12,2.673050435538063e-12
S001,img_der,F3,5.884906708321721e-11,1.0651198289550651e-11,6.221849280059759e-12,2.6879985535805198e-12,5.013457518522322e-13
S001,img_der,F1,6.545577488104351e-11,1.493273819532871e-11,8.178172908100428e-12,3.907039641494207e-12,7.121575886613885e-13
S001,img_der,Fz,6.817419786541844e-11,1.7231322233059755e-11,8.855106040821174e-12,3.6213745897735703e-12,6.890424208778905e-13
S001,img_der,F2,5.784916469262002e-11,1.3815880405782604e-11,7.655909834233413e-12,3.219174669871513e-12,6.002594278133817e-13
S001,img_der,F4,5.297216390174211e-11,1.117722828367723e-11,6.374459925944252e-12,2.7864669997767814e-12,5.184040665541023e-13
S001,img_der,F6,8.154197955736578e-11,1.692311694052935e-11,1.0099472406274338e-11,4.354308878811027e-12,1.5660332285355699e-12
S001,img_der,F8,1.8142232384571621e-10,3.0496020624357815e-11,1.4525022391540178e-11,5.539786356412402e-12,2.450988599872825e-12
S001,img_der,FT7,6.478329152503463e-11,1.578213853393729e-11,7.89261058779015e-12,3.4903472494570767e-12,1.7857133354855615e-12
S001,img_der,FT8,9.192232095044875e-11,2.125145207652815e-11,1.0579820377884104e-11,4.35705898068104e-12,2.0432327236234926e-12
S001,img_der,T7,6.451619235660127e-11,1.737601823420005e-11,8.595922032485678e-12,3.816986097135213e-12,2.3649976064706247e-12
S001,img_der,T8,7.616988828920122e-11,2.000704164726707e-11,9.598322756392061e-12,1.0126158532682732e-11,5.756059609202904e-12
S001,img_der,T9,1.1376431345191513e-10,2.624137909552894e-11,1.2534417997545045e-11,4.001087834923604e-12,1.6341539951274728e-12
S001,img_der,T10,1.411835828365121e-10,3.252039583493796e-11,1.4783876624215808e-11,7.457137677901988e-12,3.78608183290884e-12
S001,img_der,TP7,6.587794408661943e-11,1.7893925340590648e-11,9.690021683195384e-12,3.744370058907769e-12,1.3910537544866942e-12
S001,img_der,TP8,6.77310280992723e-11,1.669749323002605e-11,8.699873655961868e-12,3.827468048645799e-12,1.8275588433540962e-12
S001,img_der,P7,7.389360440257406e-11,2.1049137033659156e-11,1.1587374953846329e-11,5.212412828583688e-12,1.7313920710063964e-12
S001,img_der,P5,5.7669341588909674e-11,1.4260758261950753e-11,9.426500941807793e-12,3.867006356375048e-12,1.0996630083075792e-12
S001,img_der,P3,5.7162190709542667e-11,1.1231851714759635e-11,8.924881024018772e-12,3.0991502629046726e-12,9.793195983086472e-13
S001,img_der,P1,7.342003121103324e-11,1.1218388753431257e-11,1.0004466641974194e-11,2.930759525613343e-12,9.756303026874738e-13
S001,img_der,Pz,7.486356121948125e-11,1.0695117569201725e-11,9.837763931920927e-12,2.5590679613341547e-12,9.14949825717195e-13
S001,img_der,P2,6.871084159865678e-11,1.0476816981221267e-11,1.3528018603808896e-11,3.3592572534043377e-12,9.81912026273293e-13
S001,img_der,P4,5.7047403852917206e-11,1.0223929141898339e-11,1.1968004197164333e-11,3.55413119353257e-12,1.0674249648457418e-12
S001,img_der,P6,5.39412309643093e-11,1.133534239559285e-11,1.0117498036654966e-11,3.9352430036131825e-12,1.1772605694999003e-12
S001,img_der,P8,6.965391481939919e-11,1.4895548468058505e-11,1.0479577015877676e-11,4.571727788524392e-12,1.620887301583216e-12
S001,img_der,PO7,1.0390843650798727e-10,2.405497052967212e-11,1.6084586379897852e-11,6.820748305416777e-12,1.9672206150487177e-12
S001,img_der,PO3,9.456246712891175e-11,1.9277923738453026e-11,1.4593670274123322e-11,5.575572825733308e-12,1.612510882103525e-12
S001,img_der,POz,1.0824356054577111e-10,1.6033202004509196e-11,1.7345404848913733e-11,4.862446477471523e-12,1.4134699494943527e-12
S001,img_der,PO4,8.959829378819013e-11,1.488003622867361e-11,2.027207247369556e-11,6.146038512787346e-12,1.5494312746709997e-12
S001,img_der,O1,1.241980850304647e-10,2.3878663246199695e-11,2.179783766699005e-11,9.66508689751737e-12,1.576816146296035e-12
S001,img_der,Oz,1.1958737308088746e-10,2.129277989966182e-11,2.0775967170419614e-11,9.061331644729157e-12,1.6397593408002813e-12
S001,img_izq,FC5,5.2197629396582283e-11,1.2220095142947199e-11,8.124776950070974e-12,3.818473028384041e-12,1.7655806309681164e-12
S001,img_izq,FC3,3.354499209494687e-11,1.0390348247892646e-11,7.53781895574922e-12,3.8033728855007915e-12,1.171782169857903e-12
